
2025/02/18 (15:30:28) | ===> btop++ v.1.4.0
2025/02/18 (15:30:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/18 (22:41:25) | ===> btop++ v.1.4.0
2025/02/18 (22:41:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (13:11:50) | ===> btop++ v.1.4.0
2025/03/04 (13:11:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (17:26:44) | ===> btop++ v.1.4.0
2025/03/04 (17:26:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/06 (10:03:48) | ===> btop++ v.1.4.0
2025/03/06 (10:03:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/06 (14:22:43) | ===> btop++ v.1.4.0
2025/03/06 (14:22:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/26 (14:43:46) | ===> btop++ v.1.4.0
2025/03/26 (14:43:46) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/26 (14:44:03) | WARNING: Failed to join _runner thread on exit!

2025/03/26 (14:44:07) | ===> btop++ v.1.4.0
2025/03/26 (14:44:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/28 (11:33:03) | ===> btop++ v.1.4.0
2025/03/28 (11:33:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/28 (14:46:55) | ===> btop++ v.1.4.0
2025/03/28 (14:46:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/06 (22:45:38) | ===> btop++ v.1.4.0
2025/04/06 (22:45:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/07 (11:03:15) | ===> btop++ v.1.4.0
2025/04/07 (11:03:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/07 (11:27:58) | ===> btop++ v.1.4.0
2025/04/07 (11:27:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/08 (10:10:58) | ===> btop++ v.1.4.0
2025/04/08 (10:10:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/08 (10:11:37) | ===> btop++ v.1.4.0
2025/04/08 (10:11:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/16 (12:18:54) | ===> btop++ v.1.4.0
2025/04/16 (12:18:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/22 (16:53:25) | ===> btop++ v.1.4.0
2025/04/22 (16:53:25) | WARNING: Intel GPU: Failed to initialize PMU
